DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
12695,96071,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96071,Distal duplication 3p syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12694,96070,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96070,Distal duplication 2p syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12683,96059,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96059,Mosaic trisomy 4 syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12684,96060,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96060,Mosaic trisomy 5 syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12685,96061,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96061,Mosaic trisomy 8 syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23494|23480,Not applicable|Unknown
12687,96063,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96063,Mosaic trisomy 10 syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12672,95717,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95717,Idiopathic congenital hypothyroidism,Disease,Disorder,23522|23515,Infancy|Neonatal,,
12674,95719,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95719,Thyroid hemiagenesis,Morphological anomaly,Disorder,23515,Neonatal,23494,Not applicable
12675,95720,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95720,Thyroid hypoplasia,Morphological anomaly,Disorder,23522|23515,Infancy|Neonatal,23410|23494,Autosomal dominant|Not applicable
12679,96055,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96055,Tetrasomy 21 syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,,
29860,597623,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=597623,IRF2BPL-related regressive neurodevelopmental disorder-dystonia-seizures syndrome,Disease,Disorder,23529|23522|23515,Childhood|Infancy|Neonatal,23410,Autosomal dominant
